,time_stamp,hash,time
397,1.47675E+12,63444920.86,2016-10-18T00:00:00Z
398,1.47684E+12,60393248,2016-10-19T00:00:00Z
399,1.47692E+12,59617769.6,2016-10-20T00:00:00Z
400,1.47701E+12,62758483.57,2016-10-21T00:00:00Z
401,1.47709E+12,64328249.59,2016-10-22T00:00:00Z
402,1.47718E+12,67045300.41,2016-10-23T00:00:00Z
403,1.47727E+12,65386777.69,2016-10-24T00:00:00Z
404,1.47735E+12,64541066.93,2016-10-25T00:00:00Z
405,1.47744E+12,58604413.67,2016-10-26T00:00:00Z
406,1.47753E+12,63120111.19,2016-10-27T00:00:00Z
407,1.47761E+12,59083707.06,2016-10-28T00:00:00Z
408,1.4777E+12,56541282.74,2016-10-29T00:00:00Z
409,1.47779E+12,56096423.77,2016-10-30T00:00:00Z
410,1.47787E+12,52695734.91,2016-10-31T00:00:00Z
411,1.47796E+12,52389996.46,2016-11-01T00:00:00Z
412,1.47804E+12,50254939.72,2016-11-02T00:00:00Z
413,1.47813E+12,48073416.92,2016-11-03T00:00:00Z
414,1.47822E+12,50160894.73,2016-11-04T00:00:00Z
415,1.4783E+12,50764160.58,2016-11-05T00:00:00Z
416,1.47839E+12,51751053.86,2016-11-06T00:00:00Z
417,1.47848E+12,49911910.67,2016-11-07T00:00:00Z
418,1.47856E+12,49238745.54,2016-11-08T00:00:00Z
419,1.47865E+12,52037139.5,2016-11-09T00:00:00Z
420,1.47874E+12,48192136.77,2016-11-10T00:00:00Z
421,1.47882E+12,50540567.44,2016-11-11T00:00:00Z
422,1.47891E+12,52706037.17,2016-11-12T00:00:00Z
423,1.479E+12,58222659.61,2016-11-13T00:00:00Z
424,1.47908E+12,56243936.29,2016-11-14T00:00:00Z
425,1.47917E+12,54761272.26,2016-11-15T00:00:00Z
426,1.47925E+12,56086575.71,2016-11-16T00:00:00Z
427,1.47934E+12,59205897.47,2016-11-17T00:00:00Z
428,1.47943E+12,56303573.14,2016-11-18T00:00:00Z
429,1.47951E+12,66048766.66,2016-11-19T00:00:00Z
430,1.4796E+12,65398206.58,2016-11-20T00:00:00Z
431,1.47969E+12,64147701.28,2016-11-21T00:00:00Z
432,1.47977E+12,62595013.35,2016-11-22T00:00:00Z
433,1.47986E+12,61609762.22,2016-11-23T00:00:00Z
434,1.47995E+12,62606292.5,2016-11-24T00:00:00Z
435,1.48003E+12,63236641.26,2016-11-25T00:00:00Z
436,1.48012E+12,70283442.37,2016-11-26T00:00:00Z
437,1.4802E+12,64241833.77,2016-11-27T00:00:00Z
438,1.48029E+12,63136855.5,2016-11-28T00:00:00Z
439,1.48038E+12,64244675.63,2016-11-29T00:00:00Z
440,1.48046E+12,63376248.94,2016-11-30T00:00:00Z
441,1.48055E+12,61891959.02,2016-12-01T00:00:00Z
442,1.48064E+12,64758941.18,2016-12-02T00:00:00Z
443,1.48072E+12,68642015.9,2016-12-03T00:00:00Z
444,1.48081E+12,72623025.29,2016-12-04T00:00:00Z
445,1.4809E+12,66962280.46,2016-12-05T00:00:00Z
446,1.48098E+12,66780814.39,2016-12-06T00:00:00Z
447,1.48107E+12,63133714.88,2016-12-07T00:00:00Z
448,1.48116E+12,68671528.21,2016-12-08T00:00:00Z
449,1.48124E+12,67730510.9,2016-12-09T00:00:00Z
450,1.48133E+12,74812806.01,2016-12-10T00:00:00Z
451,1.48141E+12,77187150.45,2016-12-11T00:00:00Z
452,1.4815E+12,71539314.1,2016-12-12T00:00:00Z
453,1.48159E+12,50112948.41,2016-12-13T00:00:00Z
454,1.48167E+12,35033099.17,2016-12-14T00:00:00Z
455,1.48176E+12,35318330.3,2016-12-15T00:00:00Z
456,1.48185E+12,36440742.08,2016-12-16T00:00:00Z
457,1.48193E+12,40943815.27,2016-12-17T00:00:00Z
458,1.48202E+12,40514138.91,2016-12-18T00:00:00Z
459,1.48211E+12,41106496.6,2016-12-19T00:00:00Z
460,1.48219E+12,40917754.56,2016-12-20T00:00:00Z
461,1.48228E+12,37324099.75,2016-12-21T00:00:00Z
462,1.48236E+12,38909630.47,2016-12-22T00:00:00Z
463,1.48245E+12,39063693.38,2016-12-23T00:00:00Z
464,1.48254E+12,40146844.48,2016-12-24T00:00:00Z
465,1.48262E+12,41288546.85,2016-12-25T00:00:00Z
466,1.48271E+12,41216656.68,2016-12-26T00:00:00Z
467,1.4828E+12,41325137.32,2016-12-27T00:00:00Z
468,1.48288E+12,48430959.39,2016-12-28T00:00:00Z
469,1.48297E+12,49169215.88,2016-12-29T00:00:00Z
470,1.48306E+12,47414963.37,2016-12-30T00:00:00Z
